id, name, link 
1, Love, https://www.goodreads.com/quotes/tag/love
2, Life, https://www.goodreads.com/quotes/tag/life
3, Inspirational, https://www.goodreads.com/quotes/tag/inspirational
4, Humor, https://www.goodreads.com/quotes/tag/humor
5, Philosophy, https://www.goodreads.com/quotes/tag/philosophy
6, God, https://www.goodreads.com/quotes/tag/god
7, Inspirational, https://www.goodreads.com/quotes/tag/inspirational-quotes
8, Truth, https://www.goodreads.com/quotes/tag/truth
9, Wisdom, https://www.goodreads.com/quotes/tag/wisdom
10, Romance, https://www.goodreads.com/quotes/tag/romance
11, Poetry, https://www.goodreads.com/quotes/tag/poetry
12, Death, https://www.goodreads.com/quotes/tag/death
13, Happiness, https://www.goodreads.com/quotes/tag/happiness
14, Hope, https://www.goodreads.com/quotes/tag/hope
15, Faith, https://www.goodreads.com/quotes/tag/faith
16, Life Lessons, https://www.goodreads.com/quotes/tag/life-lessons
17, Inspiration, https://www.goodreads.com/quotes/tag/inspiration
18, Writing, https://www.goodreads.com/quotes/tag/writing
19, Motivational, https://www.goodreads.com/quotes/tag/motivational
20, Religion, https://www.goodreads.com/quotes/tag/religion
21, Spirituality, https://www.goodreads.com/quotes/tag/spirituality
22, Relationships, https://www.goodreads.com/quotes/tag/relationships
23, Success, https://www.goodreads.com/quotes/tag/success
24, Life, https://www.goodreads.com/quotes/tag/life-quotes
25, Love, https://www.goodreads.com/quotes/tag/love-quotes
26, Time, https://www.goodreads.com/quotes/tag/time
27, Science, https://www.goodreads.com/quotes/tag/science
28, Knowledge, https://www.goodreads.com/quotes/tag/knowledge
29, Motivation, https://www.goodreads.com/quotes/tag/motivation
