id, name, link 
1, Art, https://www.goodreads.com/genres/art
2, Biography, https://www.goodreads.com/genres/biography
3, Business, https://www.goodreads.com/genres/business
4, Children's, https://www.goodreads.com/genres/children-s
5, Classics, https://www.goodreads.com/genres/classics
6, Comics, https://www.goodreads.com/genres/comics
7, Contemporary, https://www.goodreads.com/genres/contemporary
8, Crime, https://www.goodreads.com/genres/crime
9, Ebooks, https://www.goodreads.com/genres/ebooks
10, Fantasy, https://www.goodreads.com/genres/fantasy
11, Fiction, https://www.goodreads.com/genres/fiction
12, Graphic Novels, https://www.goodreads.com/genres/graphic-novels
13, Historical Fiction, https://www.goodreads.com/genres/historical-fiction
14, History, https://www.goodreads.com/genres/history
15, Horror, https://www.goodreads.com/genres/horror
16, Humor and Comedy, https://www.goodreads.com/genres/humor-and-comedy
17, Manga, https://www.goodreads.com/genres/manga
18, Memoir, https://www.goodreads.com/genres/memoir
19, Music, https://www.goodreads.com/genres/music
20, Mystery, https://www.goodreads.com/genres/mystery
21, Nonfiction, https://www.goodreads.com/genres/non-fiction
22, Paranormal, https://www.goodreads.com/genres/paranormal
23, Philosophy, https://www.goodreads.com/genres/philosophy
24, Poetry, https://www.goodreads.com/genres/poetry
25, Psychology, https://www.goodreads.com/genres/psychology
26, Religion, https://www.goodreads.com/genres/religion
27, Romance, https://www.goodreads.com/genres/romance
28, Science, https://www.goodreads.com/genres/science
29, Science Fiction, https://www.goodreads.com/genres/science-fiction
30, Spirituality, https://www.goodreads.com/genres/spirituality
31, Sports, https://www.goodreads.com/genres/sports
32, Thriller, https://www.goodreads.com/genres/thriller
33, Travel, https://www.goodreads.com/genres/travel
34, Young Adult, https://www.goodreads.com/genres/young-adult
