Index, Title, Author, Rating, Score, Vote, Link, Author_Link, Image, Image_Small 
1, All the Light We Cannot See, Anthony Doerr, 4.32 avg rating - 1.446.544 ratings, 12.706, 128, https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see, https://www.goodreads.com/author/show/28186.Anthony_Doerr, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1451445646i/18143977.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451445646i/18143977._SY75_.jpg
2, The Nightingale, Kristin Hannah, 4.60 avg rating - 1.113.408 ratings, 10.824, 109, https://www.goodreads.com/book/show/21853621-the-nightingale, https://www.goodreads.com/author/show/54493.Kristin_Hannah, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1681839850i/21853621.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1681839850i/21853621._SY75_.jpg
3, The Girl on the Train, Paula Hawkins, 3.95 avg rating - 2.730.027 ratings, 10.776, 109, https://www.goodreads.com/book/show/22557272-the-girl-on-the-train, https://www.goodreads.com/author/show/1063732.Paula_Hawkins, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1574805682i/22557272jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574805682i/22557272._SX50_.jpg
4, The Fault in Our Stars, John Green, 4.15 avg rating - 4.763.213 ratings, 9.399, 95, https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars, https://www.goodreads.com/author/show/1406384.John_Green, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1660273739i/11870085jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1660273739i/11870085._SX50_.jpg
5, Gone Girl, Gillian Flynn, 4.12 avg rating - 2.875.089 ratings, 8.339, 85, https://www.goodreads.com/book/show/19288043-gone-girl, https://www.goodreads.com/author/show/2383.Gillian_Flynn, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554086139i/19288043.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554086139i/19288043._SY75_.jpg
6, Me Before You (Me Before You #1), Jojo Moyes, 4.26 avg rating - 1.511.580 ratings, 5.784, 59, https://www.goodreads.com/book/show/15507958-me-before-you, https://www.goodreads.com/author/show/281810.Jojo_Moyes, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1357108762i/15507958.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1357108762i/15507958._SY75_.jpg
7, Orphan Train, Christina Baker Kline, 4.19 avg rating - 426.511 ratings, 5.700, 58, https://www.goodreads.com/book/show/15818107-orphan-train, https://www.goodreads.com/author/show/157146.Christina_Baker_Kline, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1362409483i/15818107.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1362409483i/15818107._SY75_.jpg
8, The Goldfinch, Donna Tartt, 3.93 avg rating - 866.164 ratings, 4.728, 48, https://www.goodreads.com/book/show/17333223-the-goldfinch, https://www.goodreads.com/author/show/8719.Donna_Tartt, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1378710146i/17333223.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1378710146i/17333223._SY75_.jpg
9, Big Little Lies, Liane Moriarty, 4.30 avg rating - 941.102 ratings, 4.122, 42, https://www.goodreads.com/book/show/19486412-big-little-lies, https://www.goodreads.com/author/show/322069.Liane_Moriarty, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1594851437i/19486412.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1594851437i/19486412._SY75_.jpg
10, The Invention of Wings, Sue Monk Kidd, 4.25 avg rating - 303.573 ratings, 3.679, 38, https://www.goodreads.com/book/show/18079776-the-invention-of-wings, https://www.goodreads.com/author/show/4711.Sue_Monk_Kidd, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386699861i/18079776.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386699861i/18079776._SY75_.jpg
11, Sarah's Key, Tatiana de Rosnay, 4.17 avg rating - 462.319 ratings, 3.596, 37, https://www.goodreads.com/book/show/556602.Sarah_s_Key, https://www.goodreads.com/author/show/305400.Tatiana_de_Rosnay, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1438863728i/556602jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438863728i/556602._SX50_.jpg
12, The Husband's Secret, Liane Moriarty, 3.95 avg rating - 638.856 ratings, 2.847, 30, https://www.goodreads.com/book/show/17802724-the-husband-s-secret, https://www.goodreads.com/author/show/322069.Liane_Moriarty, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1460577225i/17802724.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1460577225i/17802724._SY75_.jpg
13, Gray Mountain, John Grisham, 3.64 avg rating - 95.064 ratings, 2.615, 27, https://www.goodreads.com/book/show/20707959-gray-mountain, https://www.goodreads.com/author/show/721.John_Grisham, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1403704671i/20707959.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403704671i/20707959._SY75_.jpg
14, Memory Man (Amos Decker #1), David Baldacci, 4.10 avg rating - 130.518 ratings, 2.135, 22, https://www.goodreads.com/book/show/23153154-memory-man, https://www.goodreads.com/author/show/9291.David_Baldacci, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1421788503i/23153154jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421788503i/23153154._SX50_.jpg
15, Sycamore Row (Jake Brigance #2), John Grisham, 4.07 avg rating - 125.107 ratings, 2.025, 21, https://www.goodreads.com/book/show/17288661-sycamore-row, https://www.goodreads.com/author/show/721.John_Grisham, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1375888633i/17288661.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1375888633i/17288661._SY75_.jpg
16, The Escape (John Puller #3), David Baldacci, 4.20 avg rating - 53.113 ratings, 1.743, 18, https://www.goodreads.com/book/show/20767918-the-escape, https://www.goodreads.com/author/show/9291.David_Baldacci, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1404163742i/20767918.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404163742i/20767918._SY75_.jpg
17, The Rosie Effect (Don Tillman #2), Graeme Simsion, 3.62 avg rating - 126.966 ratings, 1.625, 17, https://www.goodreads.com/book/show/21844019-the-rosie-effect, https://www.goodreads.com/author/show/1895943.Graeme_Simsion, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1426407990i/21844019.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1426407990i/21844019._SY75_.jpg
18, Leaving Time, Jodi Picoult, 3.98 avg rating - 168.313 ratings, 1.619, 17, https://www.goodreads.com/book/show/18816603-leaving-time, https://www.goodreads.com/author/show/7128.Jodi_Picoult, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1394487223i/18816603.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394487223i/18816603._SY75_.jpg
19, Be Careful What You Wish For (The Clifton Chronicles #4), Jeffrey Archer, 4.11 avg rating - 37.349 ratings, 1.566, 16, https://www.goodreads.com/book/show/18404285-be-careful-what-you-wish-for, https://www.goodreads.com/author/show/4820.Jeffrey_Archer, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1392576182i/18404285.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1392576182i/18404285._SY75_.jpg
20, A Spool of Blue Thread, Anne Tyler, 3.43 avg rating - 91.708 ratings, 1.544, 16, https://www.goodreads.com/book/show/22501028-a-spool-of-blue-thread, https://www.goodreads.com/author/show/457.Anne_Tyler, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1451435883i/22501028jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451435883i/22501028._SX50_.jpg
21, What Alice Forgot, Liane Moriarty, 4.08 avg rating - 441.363 ratings, 1.516, 16, https://www.goodreads.com/book/show/6469165-what-alice-forgot, https://www.goodreads.com/author/show/322069.Liane_Moriarty, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1377159022i/6469165.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377159022i/6469165._SY75_.jpg
22, Before I Go, Colleen Oakley, 3.80 avg rating - 12.831 ratings, 1.169, 12, https://www.goodreads.com/book/show/20871704-before-i-go, https://www.goodreads.com/author/show/3126893.Colleen_Oakley, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1397917357i/20871704.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397917357i/20871704._SY75_.jpg
