Index, Title, Author, Author_Link, Author_Image, Author_Born, Author_Web, Author_Bio 
1, All the Light We Cannot See, Anthony Doerr, https://www.goodreads.com/author/show/28186.Anthony_Doerr, https://images.gr-assets.com/authors/1417812584p5/28186.jpg," Cleveland, Ohio, The United States", http://www.anthonydoerr.com/," Anthony Doerr is the author of six books, The Shell Collector, About Grace, Memory Wall, Four Seasons in Rome, All the Light We Cannot See, and Cloud Cuckoo Land. Doerr is a two-time National Book Award finalist, and his fiction has won five O. Henry Prizes and won a number of prizes including the Pulitzer Prize and the Carnegie Medal. Become a fan on Facebook and stay up-to-date on his latest publications."
2, The Nightingale, Kristin Hannah, https://www.goodreads.com/author/show/54493.Kristin_Hannah, https://images.gr-assets.com/authors/1517255843p5/54493.jpg," Southern California, The United States", http://kristinhannah.com," Kristin Hannah is the award-winning and bestselling author of more than 20 novels including the international blockbuster, The Nightingale, which was named Goodreads Best Historical fiction novel for 2015 and won the coveted People's Choice award for best fiction in the same year. It was named a Best Book of the Year by Amazon, iTunes, Buzzfeed, the Wall Street Journal, Paste, and The Week. In 2018, The Great Alone became an instant New York Times #1 bestseller and was named the Best Historical Novel of the Year by Goodreads.The Four Winds was published in February of 2021 and immediately hit #1 on the New York Times, Wall Street Journal, USA Today, and Indie bookstore's bestseller lists. Additionally, it was selected as a book club pick by"
3, The Girl on the Train, Paula Hawkins, https://www.goodreads.com/author/show/1063732.Paula_Hawkins, https://images.gr-assets.com/authors/1492111911p5/1063732.jpg, Zimbabwe, http://paulahawkinsbooks.com/," Paula Hawkins is the author of the #1 New York Times bestseller The Girl on the Train, which was made into a major motion picture. Her new novel of psychological suspense, Into The Water, is coming May 2."
4, The Fault in Our Stars, John Green, https://www.goodreads.com/author/show/1406384.John_Green, https://images.gr-assets.com/authors/1353452301p5/1406384.jpg," Indianapolis, The United States", http://www.johngreenbooks.com/," Librarian Note: There is more than one author in the Goodreads database with this name.John Green's first novel, Looking for Alaska, won the 2006 Michael L. Printz Award presented by the American Library Association. His second novel, An Abundance of Katherines, was a 2007 Michael L. Printz Award Honor Book and a finalist for the Los Angeles Times Book Prize. His next novel, Paper Towns, is a New York Times bestseller and won the Edgar Allen Poe Award for Best YA Mystery. In January 2012, his most recent novel, The Fault in Our Stars, was met with wide critical acclaim, unprecedented in Green's career. The praise included rave reviews in Time Magazine and The New York Times, on NPR, and from award-winning author Markus Zusak. The book also "
5, Gone Girl, Gillian Flynn, https://www.goodreads.com/author/show/2383.Gillian_Flynn, https://images.gr-assets.com/authors/1232123231p5/2383.jpg," Kansas City, MO, The United States", http://gillian-flynn.com/," Gillian Flynn is an American author and television critic for Entertainment Weekly. She has so far written three novels, Sharp Objects, for which she won the 2007 Ian Fleming Steel Dagger for the best thriller, Dark Places, and her best-selling third novel Gone Girl.Her book has received wide praise, including from authors such as Stephen King. The dark plot revolves around a serial killer in a Missouri town, and the reporter who has returned from Chicago to cover the event. Themes include dysfunctional families,violence and self-harm.In 2007 the novel was shortlisted for the Mystery Writers of America Edgar for Best First Novel by an American Writer, Crime Writers' Association Duncan Lawrie, CWA New Blood and Ian Fleming Steel Daggers, win"
6, Me Before You (Me Before You #1), Jojo Moyes, https://www.goodreads.com/author/show/281810.Jojo_Moyes, https://images.gr-assets.com/authors/1400624880p5/281810.jpg," London, England, The United Kingdom", http://www.jojomoyes.com," Jojo Moyes is a British novelist.Moyes studied at Royal Holloway, University of London. She won a bursary financed by The Independent newspaper to study journalism at City University and subsequently worked for The Independent for 10 years. In 2001 she became a full time novelist. Moyes' novel Foreign Fruit won the Romantic Novelists' Association (RNA) Romantic Novel of the Year in 2004.She is married to journalist Charles Arthur and has three children."
7, Orphan Train, Christina Baker Kline, https://www.goodreads.com/author/show/157146.Christina_Baker_Kline, https://images.gr-assets.com/authors/1585081025p5/157146.jpg," Cambridge, The United Kingdom", http://christinabakerkline.com/," A #1 New York Times bestselling author of eight novels, including The Exiles, Orphan Train, and A Piece of the World, Christina Baker Kline is published in 40 countries. Her novels have received the New England Prize for Fiction, the Maine Literary Award, and a Barnes & Noble Discover Award, among other prizes, and have been chosen by hundreds of communities, universities and schools as “One Book, One Read” selections. Her essays, articles, and reviews have appeared in publications such as the New York Times and the NYT Book Review, the Boston Globe, the San Francisco Chronicle, LitHub, Psychology Today, Poets & Writers, and Salon. Born in England and raised in the American South and Maine, Kline is a graduate of Yale (B.A.), Cambridge (M.A"
8, The Goldfinch, Donna Tartt, https://www.goodreads.com/author/show/8719.Donna_Tartt, https://s.gr-assets.com/assets/nophoto/user/u_200x266-e183445fd1a1b5cc7075bb1cf7043306.png," Greenwood, Mississippi, The United States",," Donna Tartt is an American writer who received critical acclaim for her first two novels, The Secret History and The Little Friend, which have been translated into thirty languages. Tartt was the 2003 winner of the WH Smith Literary Award for The Little Friend. Her novel The Goldfinch won the Pulitzer Prize in 2014. The daughter of Don and Taylor Tartt, she was born in Greenwood, Mississippi but raised 32 miles away in Grenada, Mississippi. At age five, she wrote her first poem, and she first saw publication in a Mississippi literary review at age 13.Enrolling in the University of Mississippi in 1981, she pledged to the sorority Kappa Kappa Gamma. Her writing caught the attention of Willie Morris while she was a freshman. Following a recomm"
9, Big Little Lies, Liane Moriarty, https://www.goodreads.com/author/show/322069.Liane_Moriarty, https://images.gr-assets.com/authors/1459827224p5/322069.jpg," Sydney, Australia", http://www.lianemoriarty.com," Liane Moriarty is the author of the #1 New York Times bestsellers Big Little Lies, The Husband’s Secret, and Truly Madly Guilty, the New York Times bestsellers Apples Never Fall, Nine Perfect Strangers, What Alice Forgot, and The Last Anniversary, The Hypnotist’s Love Story, and Three Wishes. She lives in Sydney, Australia, with her husband and two children."
10, The Invention of Wings, Sue Monk Kidd, https://www.goodreads.com/author/show/4711.Sue_Monk_Kidd, https://images.gr-assets.com/authors/1574862600p5/4711.jpg," Sylvester, Georgia, The United States", http://www.suemonkkidd.com/," SUE MONK KIDD was raised in the small town of Sylvester, Georgia. She graduated from Texas Christian University in 1970 and later took creative writing courses at Emory University, as well as studying at Sewanee, Bread Loaf, and other writers’ conferences. In her forties, Kidd turned her attention to writing fiction, winning the South Carolina Fellowship in Literature and the 1996 Poets & Writers Exchange Program in Fiction.When her first novel, The Secret Life of Bees, was published by Viking in 2002, it became a genuine literary phenomenon, spending more than 2½ years on the New York Times bestseller list. It has been translated into 36 languages and sold more than 6 million copies in the U.S. and 8 million copies worldwide. Bees was name"
