Index, Title, Author, Rating, Score, Vote, Link, Author_Link, Image, Image_Small 
1, Poisoned: Snow White's Story, Mary Mecham, 4.73 avg rating - 66 ratings, 145, 2, https://www.goodreads.com/book/show/62335305-poisoned, https://www.goodreads.com/author/show/21013720.Mary_Mecham, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1662654122i/62335305.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1662654122i/62335305._SY75_.jpg
2, Ugly: The Stepsister's Story, Mary Mecham, 4.50 avg rating - 72 ratings, 143, 2, https://www.goodreads.com/book/show/63095420-ugly, https://www.goodreads.com/author/show/21013720.Mary_Mecham, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1666676556i/63095420.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1666676556i/63095420._SY75_.jpg
3, Mirrors of Ice (Bewitching Fairy Tales #2), Celeste Baxendell, 4.50 avg rating - 199 ratings, 100, 1, https://www.goodreads.com/book/show/57894695-mirrors-of-ice, https://www.goodreads.com/author/show/20953179.Celeste_Baxendell, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1619723133i/57894695.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1619723133i/57894695._SY75_.jpg
4, Selkie's Song (Love's Enchanted Tales #1), Kimberly A. Rogers, 4.15 avg rating - 105 ratings, 100, 1, https://www.goodreads.com/book/show/41748503-selkie-s-song, https://www.goodreads.com/author/show/13573575.Kimberly_A_Rogers, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1536512977i/41748503.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1536512977i/41748503._SY75_.jpg
5, The Dragon Princess: Sleeping Beauty Reimagined (The Forgotten Kingdom #1), Lichelle Slater, 3.88 avg rating - 467 ratings, 100, 1, https://www.goodreads.com/book/show/51986116-the-dragon-princess, https://www.goodreads.com/author/show/16150296.Lichelle_Slater, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1565971362l/51986116SY75_.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1565971362l/51986116._SX50_SY75_.jpg
6, Peaceweaver (Between Shade and Flame #1), Everly Haywood, 4.02 avg rating - 162 ratings, 100, 1, https://www.goodreads.com/book/show/62636219-peaceweaver, https://www.goodreads.com/author/show/21360678.Everly_Haywood, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1663590608i/62636219.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1663590608i/62636219._SY75_.jpg
7, Beasts of Beauty (Bewitching Fairy Tales #3), Celeste Baxendell, 4.40 avg rating - 156 ratings, 99, 1, https://www.goodreads.com/book/show/58688935-beasts-of-beauty, https://www.goodreads.com/author/show/20953179.Celeste_Baxendell, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1627941422i/58688935.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627941422i/58688935._SY75_.jpg
8, Masquerade (Love's Enchanted Tales #3), Kimberly A. Rogers, 3.93 avg rating - 99 ratings, 99, 1, https://www.goodreads.com/book/show/41748490-masquerade, https://www.goodreads.com/author/show/13573575.Kimberly_A_Rogers, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1536512892i/41748490.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1536512892i/41748490._SY75_.jpg
9, The Sultan and the Storyteller (A Villain's Ever After #2), Lichelle Slater, 3.92 avg rating - 546 ratings, 99, 1, https://www.goodreads.com/book/show/58235375-the-sultan-and-the-storyteller, https://www.goodreads.com/author/show/16150296.Lichelle_Slater, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1625645511i/58235375.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1625645511i/58235375._SY75_.jpg
10, Almost There, Farrah Rochon, 4.19 avg rating - 2.753 ratings, 99, 1, https://www.goodreads.com/book/show/57189672-almost-there, https://www.goodreads.com/author/show/236656.Farrah_Rochon, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1650928556i/57189672.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1650928556i/57189672._SY75_.jpg
