Index, Title, Author, ISBN, Language, Pages, Published, Genre, Rating, Score, Vote, Link, Image, Image_Small, Description, Author_Link, Author_Image, Author_Born, Author_Web, Author_Bio 
1, All the Light We Cannot See, Anthony Doerr, 9781476746586, English, 531, May 6 2014, Historical Fiction* Fiction* Historical* War* World War II* Audiobook* Adult, 4.32 avg rating - 1.451.913 ratings, 12.706, 128, https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1451445646i/18143977.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451445646i/18143977._SY75_.jpg, Marie-Laure lives in Paris near the Museum of Natural History* where her father works. When she is twelve* the Nazis occupy Paris and father and daughter flee to the walled citadel of Saint-Malo* where Marie-Laure’s reclusive great uncle lives in a tall house by the sea. With them they carry what might be the museum’s most valuable and dangerous jewel. In a mining town in Germany* Werner Pfennig* an orphan* grows up with his younger sister* enchanted by a crude radio they find that brings them news and stories from places they have never seen or imagined. Werner becomes an expert at building and fixing these crucial new instruments and is enlisted to use his talent to track down the resistance. Deftly interweaving the lives of Marie-Laure and Werner* Doerr illuminates the ways* against all odds* people try to be good to one another. From the highly acclaimed* multiple award-winning Anthony Doerr* the stunningly beautiful instant New York Times bestseller about a blind French girl and a German boy whose paths collide in occupied France as both try to survive the devastation of World War II. An alternate cover for this ISBN can be found here, https://www.goodreads.com/author/show/28186.Anthony_Doerr, https://images.gr-assets.com/authors/1417812584p5/28186.jpg, Cleveland* Ohio* The United States, http://www.anthonydoerr.com/, Anthony Doerr is the author of six books* The Shell Collector* About Grace* Memory Wall* Four Seasons in Rome* All the Light We Cannot See* and Cloud Cuckoo Land. Doerr is a two-time National Book Award finalist* and his fiction has won five O. Henry Prizes and won a number of prizes including the Pulitzer Prize and the Carnegie Medal. Become a fan on Facebook and stay up-to-date on his latest publications.
2, The Nightingale, Kristin Hannah, 9780312577223, English, 440, October 8 2015, Historical Fiction* Fiction* Historical* World War II* War* Audiobook* Adult, 4.61 avg rating - 1.120.167 ratings, 10.824, 109, https://www.goodreads.com/book/show/21853621-the-nightingale, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1681839850i/21853621.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1681839850i/21853621._SY75_.jpg, In love we find out who we want to be. In war we find out who we are. FRANCE* 1939In the quiet village of Carriveau* Vianne Mauriac says good-bye to her husband* Antoine* as he heads for the Front. She doesn’t believe that the Nazis will invade France…but invade they do* in droves of marching soldiers* in caravans of trucks and tanks* in planes that fill the skies and drop bombs upon the innocent. When a German captain requisitions Vianne’s home* she and her daughter must live with the enemy or lose everything. Without food or money or hope* as danger escalates all around them* she is forced to make one impossible choice after another to keep her family alive. Vianne’s sister* Isabelle* is a rebellious eighteen-year-old* searching for purpose with all the reckless passion of youth. While thousands of Parisians march into the unknown terrors of war* she meets Gaëtan* a partisan who believes the French can fight the Nazis from within France* and she falls in love as only the young can…completely. But when he betrays her* Isabelle joins the Resistance and never looks back* risking her life time and again to save others. , https://www.goodreads.com/author/show/54493.Kristin_Hannah, https://images.gr-assets.com/authors/1517255843p5/54493.jpg, Southern California* The United States, http://kristinhannah.com, Kristin Hannah is the award-winning and bestselling author of more than 20 novels including the international blockbuster* The Nightingale* which was named Goodreads Best Historical fiction novel for 2015 and won the coveted People's Choice award for best fiction in the same year. It was named a Best Book of the Year by Amazon* iTunes* Buzzfeed* the Wall Street Journal* Paste* and The Week. In 2018* The Great Alone became an instant New York Times #1 bestseller and was named the Best Historical Novel of the Year by Goodreads.The Four Winds was published in February of 2021 and immediately hit #1 on the New York Times* Wall Street Journal* USA Today* and Indie bookstore's bestseller lists. Additionally* it was selected as a book club pick by
3, The Girl on the Train, Paula Hawkins, 9781594633669, English, 336, January 6 2015, Fiction* Mystery* Thriller* Mystery Thriller* Crime* Suspense* Contemporary, 3.95 avg rating - 2.736.462 ratings, 10.776, 109, https://www.goodreads.com/book/show/22557272-the-girl-on-the-train, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1574805682i/22557272.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574805682i/22557272._SX50_.jpg, Rachel catches the same commuter train every morning. She knows it will wait at the same signal each time* overlooking a row of back gardens. She’s even started to feel like she knows the people who live in one of the houses. “Jess and Jason*” she calls them. Their life—as she sees it—is perfect. If only Rachel could be that happy. And then she sees something shocking. It’s only a minute until the train moves on* but it’s enough. Now everything’s changed. Now Rachel has a chance to become a part of the lives she’s only watched from afar. Now they’ll see she’s much more than just the girl on the train. . . An alternative cover edition for this ISBN can be found here. , https://www.goodreads.com/author/show/1063732.Paula_Hawkins, https://images.gr-assets.com/authors/1492111911p5/1063732.jpg, Zimbabwe, http://paulahawkinsbooks.com/, Paula Hawkins is the author of the #1 New York Times bestseller The Girl on the Train* which was made into a major motion picture. Her new novel of psychological suspense* Into The Water* is coming May 2.
4, The Fault in Our Stars, John Green, null, English, 313, January 10 2012, Young Adult* Romance* Fiction* Contemporary* Realistic Fiction* Teen* Coming Of Age, 4.15 avg rating - 4.774.923 ratings, 9.399, 95, https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1660273739i/11870085.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1660273739i/11870085._SX50_.jpg, Despite the tumor-shrinking medical miracle that has bought her a few years* Hazel has never been anything but terminal* her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group* Hazel's story is about to be completely rewritten. Insightful* bold* irreverent* and raw* The Fault in Our Stars is award-winning author John Green's most ambitious and heartbreaking work yet* brilliantly exploring the funny* thrilling* and tragic business of being alive and in love. , https://www.goodreads.com/author/show/1406384.John_Green, https://images.gr-assets.com/authors/1353452301p5/1406384.jpg, Indianapolis* The United States, http://www.johngreenbooks.com/, Librarian Note: There is more than one author in the Goodreads database with this name.John Green's first novel* Looking for Alaska* won the 2006 Michael L. Printz Award presented by the American Library Association. His second novel* An Abundance of Katherines* was a 2007 Michael L. Printz Award Honor Book and a finalist for the Los Angeles Times Book Prize. His next novel* Paper Towns* is a New York Times bestseller and won the Edgar Allen Poe Award for Best YA Mystery. In January 2012* his most recent novel* The Fault in Our Stars* was met with wide critical acclaim* unprecedented in Green's career. The praise included rave reviews in Time Magazine and The New York Times* on NPR* and from award-winning author Markus Zusak. The book also 
5, Gone Girl, Gillian Flynn, null, English, 415, May 14 2012, Fiction* Mystery* Thriller* Mystery Thriller* Crime* Suspense* Contemporary, 4.12 avg rating - 2.881.430 ratings, 8.339, 85, https://www.goodreads.com/book/show/19288043-gone-girl, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554086139i/19288043.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554086139i/19288043._SY75_.jpg, Who are you?What have we done to each other?These are the questions Nick Dunne finds himself asking on the morning of his fifth wedding anniversary when his wife Amy suddenly disappears. The police suspect Nick. Amy's friends reveal that she was afraid of him* that she kept secrets from him. He swears it isn't true. A police examination of his computer shows strange searches. He says they weren't made by him. And then there are the persistent calls on his mobile phone. So what did happen to Nick's beautiful wife?, https://www.goodreads.com/author/show/2383.Gillian_Flynn, https://images.gr-assets.com/authors/1232123231p5/2383.jpg, Kansas City* MO* The United States, http://gillian-flynn.com/, Gillian Flynn is an American author and television critic for Entertainment Weekly. She has so far written three novels* Sharp Objects* for which she won the 2007 Ian Fleming Steel Dagger for the best thriller- Dark Places- and her best-selling third novel Gone Girl.Her book has received wide praise* including from authors such as Stephen King. The dark plot revolves around a serial killer in a Missouri town* and the reporter who has returned from Chicago to cover the event. Themes include dysfunctional families*violence and self-harm.In 2007 the novel was shortlisted for the Mystery Writers of America Edgar for Best First Novel by an American Writer* Crime Writers' Association Duncan Lawrie* CWA New Blood and Ian Fleming Steel Daggers* win
6, Me Before You (Me Before You #1), Jojo Moyes, 9780670026609, English, 369, December 31 2012, Romance* Fiction* Contemporary* Chick Lit* Adult* Adult Fiction* Audiobook, 4.26 avg rating - 1.515.184 ratings, 5.784, 59, https://www.goodreads.com/book/show/15507958-me-before-you, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1357108762i/15507958.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1357108762i/15507958._SY75_.jpg, Discover the love story that captured over 20 million hearts in Me Before You* After You* and Still Me. They had nothing in common until love gave them everything to lose . . . Louisa Clark is an ordinary girl living an exceedingly ordinary life—steady boyfriend* close family—who has barely been farther afield than their tiny village. She takes a badly needed job working for ex–Master of the Universe Will Traynor* who is wheelchair bound after an accident. Will has always lived a huge life—big deals* extreme sports* worldwide travel—and now he’s pretty sure he cannot live the way he is. Will is acerbic* moody* bossy—but Lou refuses to treat him with kid gloves* and soon his happiness means more to her than she expected. When she learns that Will has shocking plans of his own* she sets out to show him that life is still worth living. A Love Story for this generation and perfect for fans of John Green’s The Fault in Our Stars* Me Before You brings to life two people who couldn’t have less in common—a heartbreakingly romantic novel that asks* What do you do when making the person you love happy also means breaking your own heart?, https://www.goodreads.com/author/show/281810.Jojo_Moyes, https://images.gr-assets.com/authors/1400624880p5/281810.jpg, London* England* The United Kingdom, http://www.jojomoyes.com, Jojo Moyes is a British novelist.Moyes studied at Royal Holloway* University of London. She won a bursary financed by The Independent newspaper to study journalism at City University and subsequently worked for The Independent for 10 years. In 2001 she became a full time novelist. Moyes' novel Foreign Fruit won the Romantic Novelists' Association (RNA) Romantic Novel of the Year in 2004.She is married to journalist Charles Arthur and has three children.
7, Orphan Train, Christina Baker Kline, null, English, 278, April 2 2013, Historical Fiction* Fiction* Historical* Book Club* Adult* Adult Fiction* Young Adult, 4.19 avg rating - 427.092 ratings, 5.700, 58, https://www.goodreads.com/book/show/15818107-orphan-train, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1362409483i/15818107.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1362409483i/15818107._SY75_.jpg, This is an alternate cover edition of ISBN 9780061950728* found here. The author of Bird in Hand and The Way Life Should Be delivers her most ambitious and powerful novel to date: a captivating story of two very different women who build an unexpected friendship: a 91-year-old woman with a hidden past as an orphan-train rider and the teenage girl whose own troubled adolescence leads her to seek answers to questions no one has ever thought to ask. Nearly eighteen* Molly Ayer knows she has one last chance. Just months from "aging out" of the child welfare system* and close to being kicked out of her foster home* a community service position helping an elderly woman clean out her home is the only thing keeping her out of juvie and worse. Vivian Daly has lived a quiet life on the coast of Maine. But in her attic* hidden in trunks* are vestiges of a turbulent past. As she helps Vivian sort through her possessions and memories* Molly discovers that she and Vivian aren't as different as they seem to be. A young Irish immigrant orphaned in New York City* Vivian was put on a train to the Midwest with hundreds of other children whose destinies would be determined by luck and chance. The closer Molly grows to Vivian* the more she discovers parallels to her own life. A Penobscot Indian* she* too* is an outsider being raised by strangers* and she* too* has unanswered questions about the past. As her emotional barriers begin to crumble* Molly discovers that she has the power to help Vivian find answers to mysteries that have haunted her for her entire life - answers that will ultimately free them both. Rich in detail and epic in scope* Orphan Train is a powerful novel of upheaval and resilience* of second chances* of unexpected friendship* and of the secrets we carry that keep us from finding out who we are. , https://www.goodreads.com/author/show/157146.Christina_Baker_Kline, https://images.gr-assets.com/authors/1585081025p5/157146.jpg, Cambridge* The United Kingdom, http://christinabakerkline.com/, A #1 New York Times bestselling author of eight novels* including The Exiles* Orphan Train* and A Piece of the World* Christina Baker Kline is published in 40 countries. Her novels have received the New England Prize for Fiction* the Maine Literary Award* and a Barnes & Noble Discover Award* among other prizes* and have been chosen by hundreds of communities* universities and schools as “One Book* One Read” selections. Her essays* articles* and reviews have appeared in publications such as the New York Times and the NYT Book Review* the Boston Globe* the San Francisco Chronicle* LitHub* Psychology Today* Poets & Writers* and Salon. Born in England and raised in the American South and Maine* Kline is a graduate of Yale (B.A.)* Cambridge (M.A
8, The Goldfinch, Donna Tartt, 9780316055437, English, 864, September 23 2013, Fiction* Contemporary* Literary Fiction* Audiobook* Art* Mystery* Adult, 3.93 avg rating - 867.970 ratings, 4.728, 48, https://www.goodreads.com/book/show/17333223-the-goldfinch, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1378710146i/17333223.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1378710146i/17333223._SY75_.jpg, Winner of the Pulitzer Prize for Fiction 2014Aged thirteen* Theo Decker* son of a devoted mother and a reckless* largely absent father* survives an accident that otherwise tears his life apart. Alone and rudderless in New York* he is taken in by the family of a wealthy friend. He is tormented by an unbearable longing for his mother* and down the years clings to the thing that most reminds him of her: a small* strangely captivating painting that ultimately draws him into the criminal underworld. As he grows up* Theo learns to glide between the drawing rooms of the rich and the dusty antiques store where he works. He is alienated and in love - and his talisman* the painting* places him at the centre of a narrowing* ever more dangerous circle. The Goldfinch is a haunted odyssey through present-day America and a drama of enthralling power. Combining unforgettably vivid characters and thrilling suspense* it is a beautiful* addictive triumph - a sweeping story of loss and obsession* of survival and self-invention* of the deepest mysteries of love* identity and fate. , https://www.goodreads.com/author/show/8719.Donna_Tartt, https://s.gr-assets.com/assets/nophoto/user/u_200x266-e183445fd1a1b5cc7075bb1cf7043306.png, Greenwood* Mississippi* The United States, Donna Tartt’s books, Donna Tartt is an American writer who received critical acclaim for her first two novels* The Secret History and The Little Friend* which have been translated into thirty languages. Tartt was the 2003 winner of the WH Smith Literary Award for The Little Friend. Her novel The Goldfinch won the Pulitzer Prize in 2014. The daughter of Don and Taylor Tartt* she was born in Greenwood* Mississippi but raised 32 miles away in Grenada* Mississippi. At age five* she wrote her first poem* and she first saw publication in a Mississippi literary review at age 13.Enrolling in the University of Mississippi in 1981* she pledged to the sorority Kappa Kappa Gamma. Her writing caught the attention of Willie Morris while she was a freshman. Following a recomm
9, Big Little Lies, Liane Moriarty, 9780399167065, English, 458, December 25 2014, Fiction* Mystery* Contemporary* Chick Lit* Thriller* Audiobook* Mystery Thriller, 4.30 avg rating - 943.170 ratings, 4.122, 42, https://www.goodreads.com/book/show/19486412-big-little-lies, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1594851437i/19486412.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1594851437i/19486412._SY75_.jpg, Sometimes it’s the little lies that turn out to be the most lethal. . . A murder . . . a tragic accident . . . or just parents behaving badly? What’s indisputable is that someone is dead. But who did what?Big Little Lies follows three women* each at a crossroads: Madeline is a force to be reckoned with. She’s funny and biting* passionate* she remembers everything and forgives no one. Her ex-husband and his yogi new wife have moved into her beloved beachside community* and their daughter is in the same kindergarten class as Madeline’s youngest (how is this possible?). And to top it all off* Madeline’s teenage daughter seems to be choosing Madeline’s ex-husband over her. (How. Is. This. Possible?). Celeste is the kind of beautiful woman who makes the world stop and stare. While she may seem a bit flustered at times* who wouldn’t be* with those rambunctious twin boys? Now that the boys are starting school* Celeste and her husband look set to become the king and queen of the school parent body. But royalty often comes at a price* and Celeste is grappling with how much more she is willing to pay. New to town* single mom Jane is so young that another mother mistakes her for the nanny. Jane is sad beyond her years and harbors secret doubts about her son. But why? While Madeline and Celeste soon take Jane under their wing* none of them realizes how the arrival of Jane and her inscrutable little boy will affect them all. Big Little Lies is a brilliant take on ex-husbands and second wives* mothers and daughters* schoolyard scandal* and the dangerous little lies we tell ourselves just to survive. , https://www.goodreads.com/author/show/322069.Liane_Moriarty, https://images.gr-assets.com/authors/1459827224p5/322069.jpg, Sydney* Australia, http://www.lianemoriarty.com, Liane Moriarty is the author of the #1 New York Times bestsellers Big Little Lies* The Husband’s Secret* and Truly Madly Guilty- the New York Times bestsellers Apples Never Fall* Nine Perfect Strangers* What Alice Forgot* and The Last Anniversary- The Hypnotist’s Love Story- and Three Wishes. She lives in Sydney* Australia* with her husband and two children.
10, The Invention of Wings, Sue Monk Kidd, 9780670024780, English, 384, January 7 2014, Historical Fiction* Fiction* Historical* Book Club* Audiobook* Adult* Adult Fiction, 4.25 avg rating - 303.977 ratings, 3.679, 38, https://www.goodreads.com/book/show/18079776-the-invention-of-wings, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386699861i/18079776.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386699861i/18079776._SY75_.jpg, Writing at the height of her narrative and imaginative gifts* Sue Monk Kidd presents a masterpiece of hope* daring* the quest for freedom* and the desire to have a voice in the world—and it is now the newest Oprah’s Book Club 2. 0 selection. Hetty “Handful” Grimke* an urban slave in early nineteenth century Charleston* yearns for life beyond the suffocating walls that enclose her within the wealthy Grimke household. The Grimke’s daughter* Sarah* has known from an early age she is meant to do something large in the world* but she is hemmed in by the limits imposed on women. Kidd’s sweeping novel is set in motion on Sarah’s eleventh birthday* when she is given ownership of ten year old Handful* who is to be her handmaid. We follow their remarkable journeys over the next thirty five years* as both strive for a life of their own* dramatically shaping each other’s destinies and forming a complex relationship marked by guilt* defiance* estrangement and the uneasy ways of love. As the stories build to a riveting climax* Handful will endure loss and sorrow* finding courage and a sense of self in the process. Sarah will experience crushed hopes* betrayal* unrequited love* and ostracism before leaving Charleston to find her place alongside her fearless younger sister* Angelina* as one of the early pioneers in the abolition and women’s rights movements. Inspired by the historical figure of Sarah Grimke* Kidd goes beyond the record to flesh out the rich interior lives of all of her characters* both real and invented* including Handful’s cunning mother* Charlotte* who courts danger in her search for something better. This exquisitely written novel is a triumph of storytelling that looks with unswerving eyes at a devastating wound in American history* through women whose struggles for liberation* empowerment* and expression will leave no reader unmoved. , https://www.goodreads.com/author/show/4711.Sue_Monk_Kidd, https://images.gr-assets.com/authors/1574862600p5/4711.jpg, Sylvester* Georgia* The United States, http://www.suemonkkidd.com/, SUE MONK KIDD was raised in the small town of Sylvester* Georgia. She graduated from Texas Christian University in 1970 and later took creative writing courses at Emory University* as well as studying at Sewanee* Bread Loaf* and other writers’ conferences. In her forties* Kidd turned her attention to writing fiction* winning the South Carolina Fellowship in Literature and the 1996 Poets & Writers Exchange Program in Fiction.When her first novel* The Secret Life of Bees* was published by Viking in 2002* it became a genuine literary phenomenon* spending more than 2½ years on the New York Times bestseller list. It has been translated into 36 languages and sold more than 6 million copies in the U.S. and 8 million copies worldwide. Bees was name
