id, name, quote, tags, link, image, born, web, bio 
1, Oscar Wilde, Be yourself; everyone else is already taken., attributed-no-source* be-yourself* gilbert-perreira* honesty* inspirational* misattributed-oscar-wilde* quote-investigator* , https://www.goodreads.com/author/show/3565.Oscar_Wilde, https://images.gr-assets.com/authors/1673611182p5/3565.jpg, Dublin* Ireland, http://www.cmgww.com/historic/wilde/, Oscar Fingal O'Flahertie Wills Wilde was an Irish playwright* poet* and author of numerous short stories* and one novel. Known for his biting wit* and a plentitude of aphorisms* he became one of the most successful playwrights of the late Victorian era in London* and one of the greatest celebrities of his day. Several of his plays continue to be widely performed* especially The Importance of Being Earnest. As the result of a widely covered series of trials* Wilde suffered a dramatic downfall and was imprisoned for two years hard labour after being convicted of "gross indecency" with other men. After Wilde was released from prison he set sail for Dieppe by the night ferry. He never returned to Ireland or Britain* and died in poverty.
2, Albert Einstein, Two things are infinite: the universe and human stupidity; and I'm not sure about the universe., attributed-no-source* human-nature* humor* infinity* philosophy* science* stupidity* universe* , https://www.goodreads.com/author/show/9810.Albert_Einstein, https://images.gr-assets.com/authors/1429114964p5/9810.jpg, Ulm* Germany, Albert Einstein’s books, In 1879* Albert Einstein was born in Ulm* Germany. He completed his Ph.D. at the University of Zurich by 1909. His 1905 paper explaining the photoelectric effect* the basis of electronics* earned him the Nobel Prize in 1921. His first paper on Special Relativity Theory* also published in 1905* changed the world. After the rise of the Nazi party* Einstein made Princeton his permanent home* becoming a U.S. citizen in 1940. Einstein* a pacifist during World War I* stayed a firm proponent of social justice and responsibility. He chaired the Emergency Committee of Atomic Scientists* which organized to alert the public to the dangers of atomic warfare.At a symposium* he advised: "In their struggle for the ethical good* teachers of religion must h
3, Frank Zappa, So many books* so little time., books* humor* , https://www.goodreads.com/author/show/22302.Frank_Zappa, https://images.gr-assets.com/authors/1315160559p5/22302.jpg, Baltimore* The United States, Frank Zappa’s books, Frank Vincent Zappa was an American composer* musician* and film director. In a career spanning more than 30 years* Zappa established himself as a prolific and highly distinctive composer* electric guitar player and band leader. He worked in almost every musical genre and wrote music for rock bands* jazz ensembles* synthesizers and symphony orchestra* as well as musique concrète works constructed from pre-recorded* synthesized or sampled sources. In addition to his music recordings* he created feature-length and short films* music videos* and album covers.(author photo source: http://www.helgeoveras.com/zappa.shtml)
4, Marcus Tullius Cicero, A room without books is like a body without a soul., attributed-no-source* books* simile* soul* , https://www.goodreads.com/author/show/13755.Marcus_Tullius_Cicero, https://images.gr-assets.com/authors/1197881416p5/13755.jpg, Arpinum* Italy, Marcus Tullius Cicero’s books, Marcus Tullius Cicero was a Roman philosopher* statesman* lawyer* political theorist* and Roman constitutionalist. Cicero is widely considered one of Rome's greatest orators and prose stylists.Alternate profiles:CicéronNote: All editions should have Marcus Tullius Cicero as primary author. Editions with another name on the cover should have that name added as secondary author.
5, Bernard M. Baruch, Be who you are and say what you feel* because those who mind don't matter* and those who matter don't mind., ataraxy* be-yourself* confidence* fitting-in* individuality* misattributed-dr-seuss* those-who-matter* , https://www.goodreads.com/author/show/5768330.Bernard_M_Baruch, https://images.gr-assets.com/authors/1331977133p5/5768330.jpg, Camden* South Carolina* The United States, Bernard M. Baruch’s books, Bernard Mannes Baruch* the "Park Bench Statesman*" made his fortune on Wall Street* but his greatest challenge and his greatest satisfaction were his service to his country as an economic adviser during both World Wars I and II and as a confidante to six presidents.	   	Bernard Mannes Baruch was born August 19* 1870* in Camden* the son of Simon and Isabelle Wolfe Baruch. His father was a German immigrant who came to America in 1855 to avoid Prussian conscription. He was 15 years old and knew only one person in America* Mannes Baum* the owner of a general store in Camden* who was married to an aunt of Baruch's mother.	   	Young Simon Baruch worked for Baum as a bookkeeper and* with Baum's help* taught himself English. Mrs. Baum persuaded her
6, William W. Purkey, You've gotta dance like there's nobody watching*Love like you'll never be hurt*Sing like there's nobody listening*And live like it's heaven on earth., dance* heaven* hurt* inspirational* life* love* sing* , https://www.goodreads.com/author/show/1744830.William_W_Purkey, https://images.gr-assets.com/authors/1282396130p5/1744830.jpg, , William W. Purkey’s books, [From Amazon.com]William Watson Purkey* Ed.D. began his educational career as a public school teacher* rising to a fully tenured position at the University of Florida* and finally as Professor Emeritus of Counselor Education at the University of North Carolina-Greensboro. His passion for teaching and leadership has earned him various awards of excellence in his field. He is also the co-founder of The International Alliance for Invitational Education. A noted writer* researcher* speaker* and leader* Purkey has authored nearly 100 articles and more than a dozen books. 
7, Dr. Seuss, You know you're in love when you can't fall asleep because reality is finally better than your dreams., attributed-no-source* dreams* love* reality* sleep* , https://www.goodreads.com/author/show/61105.Dr_Seuss, https://images.gr-assets.com/authors/1193930952p5/61105.jpg, Springfield* MA* The United States, http://www.seussville.com/, Theodor Seuss Geisel was born 2 March 1904 in Springfield* Massachusetts. He graduated Dartmouth College in 1925* and proceeded on to Oxford University with the intent of acquiring a doctorate in literature. At Oxford he met Helen Palmer* who he wed in 1927. He returned from Europe in 1927* and began working for a magazine called Judge* the leading humor magazine in America at the time* submitting both cartoons and humorous articles for them. Additionally* he was submitting cartoons to Life* Vanity Fair and Liberty. In some of his works* he'd made reference to an insecticide called Flit. These references gained notice* and led to a contract to draw comic ads for Flit. This association lasted 17 years* gained him national exposure* and coine
8, Mae West, You only live once* but if you do it right* once is enough., humor* life* , https://www.goodreads.com/author/show/259666.Mae_West, https://images.gr-assets.com/authors/1198551937p5/259666.jpg, Brooklyn* New York City** The United States, Mae West’s books, Mae West (August 17* 1893 – November 22* 1980) was an American actress* playwright* screenwriter* and sex symbol.Famous for her bawdy double entendres* West made a name for herself in vaudeville and on the stage in New York before moving to Hollywood to become a comedian* actress and writer in the motion picture industry.One of the most controversial stars of her day* West encountered many problems including censorship.When her cinematic career ended* she continued to perform on stage* in Las Vegas* in the United Kingdom* on radio and television* and recorded Rock and Roll albums.
9, Mahatma Gandhi, Be the change that you wish to see in the world., action* change* inspirational* misattributed-to-gandhi* philosophy* wish* , https://www.goodreads.com/author/show/5810891.Mahatma_Gandhi, https://images.gr-assets.com/authors/1356810912p5/5810891.jpg, Porbander* Gujrat* India, http://www.mkgandhi.org/, Mohandas Karamchand Gandhi* commonly known as Mahatma Gandhi* was the preeminent leader of Indian nationalism in British-ruled India. Employing non-violent civil disobedience* Gandhi led India to independence and inspired movements for non-violence* civil rights and freedom across the world.The son of a senior government official* Gandhi was born and raised in a Hindu Bania community in coastal Gujarat* and trained in law in London. Gandhi became famous by fighting for the civil rights of Muslim and Hindu Indians in South Africa* using new techniques of non-violent civil disobedience that he developed. Returning to India in 1915* he set about organizing peasants to protest excessive land-taxes. A lifelong opponent of "communalism" (i.e. bas
10, Robert Frost, In three words I can sum up everything I've learned about life: it goes on., life* , https://www.goodreads.com/author/show/7715.Robert_Frost, https://images.gr-assets.com/authors/1605640483p5/7715.jpg, San Francisco* California* The United States, Robert Frost’s books, Flinty* moody* plainspoken and deep* Robert Frost was one of America's most popular 20th-century poets. Frost was farming in Derry* New Hampshire when* at the age of 38* he sold the farm* uprooted his family and moved to England* where he devoted himself to his poetry. His first two books of verse* A Boy's Will (1913) and North of Boston (1914)* were immediate successes. In 1915 he returned to the United States and continued to write while living in New Hampshire and then Vermont. His pastoral images of apple trees and stone fences -- along with his solitary* man-of-few-words poetic voice -- helped define the modern image of rural New England. Frost's poems include "Mending Wall" ("Good fences make good neighbors")* "Stopping by Woods on a 
